|6.6.6
antigorite_1.tab                                                                                    
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           7
T(K)           P(bar)         rho,kg/m3      rho,kg/m3      SIO2,wt%       MGO,wt%        fo,vo%        
  923.150        11170.6        3034.26        988.516        50.4470        47.7735        59.6150     
  923.150        11180.6        3034.30        988.741        50.4470        47.7735        59.6153     
  923.150        11190.6        3034.34        988.966        50.4470        47.7735        59.6156     
  923.150        11200.6        3034.38        989.191        50.4470        47.7735        59.6159     
  923.150        11210.6        3034.42        989.416        50.4470        47.7735        59.6162     
  923.150        11220.6        3034.46        989.641        50.4470        47.7735        59.6165     
  923.150        11230.6        3034.50        989.865        50.4470        47.7735        59.6168     
  923.150        11240.6        3034.55        990.089        50.4470        47.7735        59.6171     
  923.150        11250.6        3034.59        990.313        50.4470        47.7735        59.6174     
  923.150        11260.6        3034.63        990.537        50.4470        47.7735        59.6177     
  923.150        11270.6        3034.67        990.760        50.4470        47.7735        59.6180     
  923.150        11280.6        3034.71        990.983        50.4470        47.7735        59.6183     
  923.150        11290.6        3034.75        991.207        50.4470        47.7735        59.6186     
  923.150        11300.7        3034.79        991.430        50.4470        47.7735        59.6189     
  923.150        11310.7        3034.83        991.652        50.4470        47.7735        59.6192     
  923.150        11320.7        3034.87        991.875        50.4470        47.7735        59.6195     
  923.150        11330.7        3034.91        992.097        50.4470        47.7735        59.6198     
  923.150        11340.7        3034.95        992.320        50.4470        47.7735        59.6201     
  923.150        11350.7        3035.00        992.542        50.4470        47.7735        59.6204     
  923.150        11360.7        3035.04        992.763        50.4470        47.7735        59.6207     
  923.150        11370.7        3035.08        992.985        50.4470        47.7735        59.6210     
  923.150        11380.7        3035.12        993.207        50.4470        47.7735        59.6213     
  923.150        11390.7        3035.16        993.428        50.4470        47.7735        59.6216     
  923.150        11400.7        3035.20        993.649        50.4470        47.7735        59.6219     
  923.150        11410.7        3035.24        993.870        50.4470        47.7735        59.6222     
  923.150        11420.7        3035.28        994.091        50.4470        47.7735        59.6225     
  923.150        11430.7        3035.32        994.311        50.4470        47.7735        59.6228     
  923.150        11440.7        3035.36        994.531        50.4470        47.7735        59.6231     
  923.150        11450.7        3035.40        994.752        50.4470        47.7735        59.6233     
  923.150        11460.7        3035.44        994.972        50.4470        47.7735        59.6236     
  923.150        11470.7        3035.49        995.191        50.4470        47.7735        59.6239     
  923.150        11480.7        3035.53        995.411        50.4470        47.7735        59.6242     
  923.150        11490.7        3035.57        995.630        50.4470        47.7735        59.6245     
  923.150        11500.8        3035.61        995.850        50.4470        47.7735        59.6248     
  923.150        11510.8        3035.65        996.069        50.4470        47.7735        59.6251     
  923.150        11520.8        3035.69        996.288        50.4470        47.7735        59.6254     
  923.150        11530.8        3035.73        996.506        50.4470        47.7735        59.6257     
  923.150        11540.8        3035.77        996.725        50.4470        47.7735        59.6260     
  923.150        11550.8        3035.81        996.943        50.4470        47.7735        59.6263     
  923.150        11560.8        3035.85        997.161        50.4470        47.7735        59.6266     
  923.150        11570.8        3035.89        997.379        50.4470        47.7735        59.6269     
  923.150        11580.8        3035.94        997.597        50.4470        47.7735        59.6272     
  923.150        11590.8        3035.98        997.815        50.4470        47.7735        59.6275     
  923.150        11600.8        3036.02        998.032        50.4470        47.7735        59.6278     
  923.150        11610.8        3036.06        998.249        50.4470        47.7735        59.6281     
  923.150        11620.8        3036.10        998.466        50.4470        47.7735        59.6284     
  923.150        11630.8        3036.14        998.683        50.4470        47.7735        59.6287     
  923.150        11640.8        3036.18        998.900        50.4470        47.7735        59.6290     
  923.150        11650.8        3036.22        999.117        50.4470        47.7735        59.6293     
  923.150        11660.8        3036.26        999.333        50.4470        47.7735        59.6296     
  923.150        11670.8        3036.30        999.549        50.4470        47.7735        59.6299     
  923.150        11680.8        3036.34        999.765        50.4470        47.7735        59.6302     
  923.150        11690.8        3036.38        999.981        50.4470        47.7735        59.6305     
  923.150        11700.9        3036.42        1000.20        50.4470        47.7735        59.6308     
  923.150        11710.9        3036.47        1000.41        50.4470        47.7735        59.6310     
  923.150        11720.9        3036.51        1000.63        50.4470        47.7735        59.6313     
  923.150        11730.9        3036.55        1000.84        50.4470        47.7735        59.6316     
  923.150        11740.9        3036.59        1001.06        50.4470        47.7735        59.6319     
  923.150        11750.9        3036.63        1001.27        50.4470        47.7735        59.6322     
  923.150        11760.9        3036.67        1001.49        50.4470        47.7735        59.6325     
  923.150        11770.9        3036.71        1001.70        50.4470        47.7735        59.6328     
  923.150        11780.9        3036.75        1001.92        50.4470        47.7735        59.6331     
  923.150        11790.9        3036.79        1002.13        50.4470        47.7735        59.6334     
  923.150        11800.9        3036.83        1002.34        50.4470        47.7735        59.6337     
  923.150        11810.9        3036.87        1002.56        50.4470        47.7735        59.6340     
